"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,11148,306,0.0439770554493308,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,11319,310,0.0515222482435597,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,11594,318,0.0262529832935561,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,11693,322,0.0411449016100179,0,0
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,11792,326,0.0126582278481013,0,0
"Crowsnest Lake",68.33333,-146.48333,513,527,123,5,0.0348837209302326,0.0286885245901639,0.110655737704918
"Crowsnest Lake",68.33333,-146.48333,513,527,246,10,0.0308988764044944,0.00826446280991736,0.165289256198347
"Crowsnest Lake",68.33333,-146.48333,513,527,493,20,0.00854700854700855,0,0.256410256410256
"Crowsnest Lake",68.33333,-146.48333,513,527,739,30,0.0264705882352941,0,0.25
"Crowsnest Lake",68.33333,-146.48333,513,527,985,40,0.00657894736842105,0,0.331730769230769
"Crowsnest Lake",68.33333,-146.48333,513,527,1232,50,0.0105540897097625,0.00806451612903226,0.254032258064516
"Crowsnest Lake",68.33333,-146.48333,513,527,1601,65,0.0194174757281553,0,0.246305418719212
"Crowsnest Lake",68.33333,-146.48333,513,527,1724,70,0.0175438596491228,0,0.250847457627119
"Crowsnest Lake",68.33333,-146.48333,513,527,1970,80,0.0337837837837838,0.00483091787439614,0.289855072463768
"Crowsnest Lake",68.33333,-146.48333,513,527,2217,90,0.0123839009287926,0,0.438679245283019
"Crowsnest Lake",68.33333,-146.48333,513,527,2463,100,0.0181268882175227,0.0040650406504065,0.313008130081301
"Crowsnest Lake",68.33333,-146.48333,513,527,2709,110,0.0168539325842697,0,0.212765957446809
"Crowsnest Lake",68.33333,-146.48333,513,527,2956,120,0.0190839694656489,0,0.195061728395062
"Crowsnest Lake",68.33333,-146.48333,513,527,3202,130,0.0205128205128205,0.00763358778625954,0.366412213740458
"Crowsnest Lake",68.33333,-146.48333,513,527,3448,140,0.0128617363344051,0.00440528634361233,0.259911894273128
"Crowsnest Lake",68.33333,-146.48333,513,527,3695,150,0.0138888888888889,0.0068259385665529,0.204778156996587
"Crowsnest Lake",68.33333,-146.48333,513,527,3941,160,0.0316622691292876,0.00327868852459016,0.140983606557377
