"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,240,0.0175054704595186,0,0.00854700854700855,8260,8083
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,245,0.0528846153846154,0,0.00396825396825397,8636,8503
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,250,0.0300187617260788,0.00284090909090909,0.00568181818181818,9022,8957
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,255,0.0231578947368421,0.0130293159609121,0,9162,9213
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,260,0.0333333333333333,0.00344827586206897,0.00344827586206897,9246,9311
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,265,0.0173913043478261,0.0186046511627907,0,9461,9423
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,270,0.0344827586206897,0.0109289617486339,0,9640,9624
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,280,0.0371900826446281,0,0.00520833333333333,9977,10035
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,290,0.0316455696202532,0.0172413793103448,0,10317.5,10461
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,295,0.0438095238095238,0,0,10503.5,10684
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,302,0.0182926829268293,0.0103626943005181,0,10756,10978
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,306,0.0439770554493308,0,0,10892,11148
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,310,0.0515222482435597,0,0,11211.5,11319
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,318,0.0262529832935561,0,0,11336,11594
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,322,0.0411449016100179,0,0,11359.5,11693
"Upper Capsule Lake",68.630934,-149.417838,10539,16241,326,0.0126582278481013,0,0,11432,11792
"Crowsnest Lake",68.33333,-146.48333,513,527,5,0.0348837209302326,0.0286885245901639,0.110655737704918,4471,123
"Crowsnest Lake",68.33333,-146.48333,513,527,10,0.0308988764044944,0.00826446280991736,0.165289256198347,4504.5,246
"Crowsnest Lake",68.33333,-146.48333,513,527,20,0.00854700854700855,0,0.256410256410256,4593,493
"Crowsnest Lake",68.33333,-146.48333,513,527,30,0.0264705882352941,0,0.25,4730,739
"Crowsnest Lake",68.33333,-146.48333,513,527,40,0.00657894736842105,0,0.331730769230769,4813,985
"Crowsnest Lake",68.33333,-146.48333,513,527,50,0.0105540897097625,0.00806451612903226,0.254032258064516,4919,1232
"Crowsnest Lake",68.33333,-146.48333,513,527,65,0.0194174757281553,0,0.246305418719212,5076,1601
