"sitename","siteid","datasetid","lat","long","0","500","1000","1500","2000","2500","3000","3500","4000","4500","5000","5500","6000","6500","7000","7500","8000","8500","9000","9500","10000","10500","11000","11500","12000","12500","13000","13500","14000","14500","15000","15500","16000","16500","17000","17500","18000","18500","19000","19500","20000"
"Sakana Lake",2245,2324,67.43333,-147.85,NA,NA,NA,NA,NA,NA,NA,NA,0.0300751879699248,0.0219512195121951,0.0303030303030303,0.0207792207792208,0.016,0.0194444444444444,0.00550964187327824,0.0349127182044888,NA,0.025,0.0331491712707182,0.115492957746479,0.105095541401274,0.0970873786407767,0.116822429906542,NA,NA,0.170520231213873,NA,NA,NA,NA,0.151898734177215,0.0903954802259887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sands of Time Lake",11575,17328,66.027922,-147.556308,NA,NA,NA,0.0393120393120393,0.0723192019950125,0.0181347150259067,0.0348258706467662,0.0337423312883436,0.0102040816326531,0.00714285714285714,0.00852272727272727,0.0184049079754601,0.0158227848101266,0.00325732899022801,0.0262626262626263,0.00903614457831325,0.0185471406491499,0.0237580993520518,NA,0.010989010989011,0.0408653846153846,0.0949367088607595,NA,0.085972850678733,NA,0.0549199084668192,0.182628062360802,0.0274390243902439,NA,NA,0.132963988919668,NA,NA,0.0955414012738854,NA,0.0542452830188679,0.120320855614973,NA,0.0993589743589744,NA,0.0540540540540541
"Screaming Lynx Lake",13690,20872,66.068048,-145.406216,0.0313479623824451,0.0313479623824451,0.0260869565217391,0.021875,0.0318840579710145,0.0289389067524116,0.0121580547112462,0.031055900621118,0.00934579439252336,0.00647249190938511,0.00684931506849315,0.015015015015015,0.024390243902439,0.0185185185185185,NA,0.0162337662337662,NA,0.0189274447949527,0.0328947368421053,0.033003300330033,0.043956043956044,0.036036036036036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Screaming Yellowlegs Pond",2270,2351,67.58333,-151.41667,0.0089086859688196,NA,NA,0.0197693574958814,0.0315581854043393,0.0297297297297297,0.0229445506692161,0.00684931506849315,NA,0.0135363790186125,0.00536672629695885,NA,0.0147679324894515,0.00892857142857143,0.00967741935483871,0.0130718954248366,0.0141843971631206,0.00359712230215827,0.0130718954248366,NA,0.0617977528089888,NA,0.078125,0.0538922155688623,0.0615141955835962,0.0450236966824645,0.0538243626062323,NA,0.0213776722090261,0.077834179357022,NA,0.125211505922166,0.194174757281553,0.242524916943522,0.176079734219269,NA,NA,NA,NA,NA,NA
"Seagull Lake",2271,2352,68.26667,-145.21667,NA,0.0103448275862069,0,0.00900900900900901,0.0114285714285714,0.0253164556962025,0.02,0.0113636363636364,0.00809716599190283,0.00442477876106195,0.0127659574468085,0.00515463917525773,0.00790513833992095,0.0134831460674157,0.0182648401826484,0.0192307692307692,0.0138888888888889,NA,0.0269230769230769,0.0160771704180064,0.0128205128205128,0.0368421052631579,0.0564263322884013,0.050761421319797,NA,0.100502512562814,NA,0.101910828025478,NA,0.05,0.0529100529100529,NA,0.0796019900497512,0.0851063829787234,NA,NA,NA,NA,NA,NA,NA
"Sithylemenkat Lake",11579,17338,66.121544,-151.398584,NA,NA,NA,0.00552486187845304,0.00571428571428571,0.0159574468085106,0.0128205128205128,0.00460829493087558,0,0,0.0121212121212121,0.0111731843575419,0,0.00420168067226891,0.00520833333333333,0,0.0127118644067797,0.0105820105820106,0,0.0352422907488987,0.033175355450237,0.1,0.083743842364532,0.175879396984925,0.128318584070796,0.14367816091954,0.0567010309278351,0.131736526946108,0.142857142857143,0.0888888888888889,0.0809248554913295,0.121387283236994,0.186813186813187,0.133757961783439,NA,NA,NA,NA,NA,NA,NA
"Tiinkdhul Lake",2551,2642,66.58333,-143.15,NA,0.0260869565217391,0.0356083086053412,0.0364238410596026,0.0225988700564972,0.0189274447949527,0.0153452685421995,0.0260869565217391,0.0190735694822888,0.0186170212765957,0.0231884057971014,0.00579710144927536,0.0345744680851064,0.0163170163170163,0.0249221183800623,0.0325443786982249,0.0578512396694215,0.0350877192982456,0.074792243767313,0.0712401055408971,0.0643086816720257,0.0984126984126984,0.196808510638298,0.042042042042042,0.111111111111111,0.0878186968838527,0.0658682634730539,0.058659217877095,NA,0.100303951367781,0.120634920634921,NA,0.172757475083056,NA,0.0952380952380952,NA,0.125766871165644,NA,0.0703363914373089,0.0854430379746835,NA
"Tukuto Lake",10538,16238,68.49686,-157.0356,NA,0.00536193029490617,0.031390134529148,0.0304568527918782,0.0430622009569378,0.0593220338983051,0.0561224489795918,0.0728862973760933,0.0185567010309278,0.0450928381962865,0.0298507462686567,NA,NA,0.045822102425876,NA,0.100313479623824,0.0821529745042493,0.151724137931034,0.0828729281767956,0.0985576923076923,0.0947630922693267,0.110410094637224,0.112299465240642,0.162866449511401,0.133928571428571,0.158064516129032,0.10803324099723,0.127450980392157,0.172106824925816,0.267123287671233,0.200617283950617,0.278637770897833,NA,NA,0.241042345276873,NA,NA,0.182481751824818,NA,NA,0.0533333333333333
"Upper Capsule Lake",10539,16241,68.630934,-149.417838,0.00196463654223969,0.00392927308447937,0.0127118644067797,0.017687074829932,0.00614754098360656,0.00245700245700246,0.00448430493273543,0.0056710775047259,0.013671875,0.00397614314115308,0.018,NA,0.0107296137339056,0.0423197492163009,0.025531914893617,0.0259179265658747,0.0175054704595186,0.0528846153846154,0.0173913043478261,0.0344827586206897,0.0316455696202532,0.0182926829268293,0.0126582278481013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xindi Lake",10102,15189,67.110754,-152.492202,NA,0.0160550458715596,0.00806451612903226,NA,0.0187353629976581,0.019680196801968,NA,0.0168067226890756,0.0127551020408163,NA,0.00704225352112676,0.0071301247771836,0.00441826215022091,0.013355592654424,0.0146198830409357,0.0902527075812274,0.101485148514851,0.0923566878980892,0.0762195121951219,0.098159509202454,0.0785907859078591,0.152,0.0504731861198738,0.0384615384615385,0.046831955922865,0.0321637426900585,0.0473372781065089,NA,NA,0.0288184438040346,NA,0.210862619808307,NA,0.238853503184713,0.264984227129338,NA,0.225806451612903,NA,NA,NA,NA
